url,ipv4
us-smtp-inbound-2.mimecast.com.,207.211.30.141
us-smtp-inbound-2.mimecast.com.,205.139.110.242
us-smtp-inbound-1.mimecast.com.,205.139.110.242
us-smtp-inbound-1.mimecast.com.,207.211.30.141
us-smtp-inbound-1.mimecast.com.,205.139.110.221
us-smtp-inbound-1.mimecast.com.,207.211.30.221
us-smtp-inbound-1.mimecast.com.,205.139.110.141
us-smtp-inbound-1.mimecast.com.,207.211.30.242
d312424b.ess.barracudanetworks.com.,209.222.82.255
d312424b.ess.barracudanetworks.com.,209.222.82.252
d312424b.ess.barracudanetworks.com.,209.222.82.253
d312424a.ess.barracudanetworks.com.,209.222.82.253
d312424a.ess.barracudanetworks.com.,209.222.82.255
d312424a.ess.barracudanetworks.com.,209.222.82.252
alamotownshipmi.gov.,50.28.9.200
d108516b.ess.barracudanetworks.com.,209.222.82.255
d108516b.ess.barracudanetworks.com.,209.222.82.253
d108516b.ess.barracudanetworks.com.,209.222.82.252
d108516a.ess.barracudanetworks.com.,209.222.82.253
d108516a.ess.barracudanetworks.com.,209.222.82.252
d108516a.ess.barracudanetworks.com.,209.222.82.255
mail.albanyga.gov.,66.110.195.44
albanyny-gov.mail.protection.outlook.com.,52.101.11.12
albanyny-gov.mail.protection.outlook.com.,52.101.8.50
albanyny-gov.mail.protection.outlook.com.,52.101.8.52
albanyny-gov.mail.protection.outlook.com.,52.101.9.19
d289294a.ess.barracudanetworks.com.,209.222.82.252
d289294a.ess.barracudanetworks.com.,209.222.82.255
d289294a.ess.barracudanetworks.com.,209.222.82.253
d289294b.ess.barracudanetworks.com.,209.222.82.255
d289294b.ess.barracudanetworks.com.,209.222.82.252
d289294b.ess.barracudanetworks.com.,209.222.82.253
smtp2.cityofalbany.net.,69.1.99.45
d186112b.ess.barracudanetworks.com.,209.222.82.255
d186112b.ess.barracudanetworks.com.,209.222.82.253
d186112b.ess.barracudanetworks.com.,209.222.82.252
d186112a.ess.barracudanetworks.com.,209.222.82.253
d186112a.ess.barracudanetworks.com.,209.222.82.252
d186112a.ess.barracudanetworks.com.,209.222.82.255
mail.i2k.com.,66.255.200.18
albertvillemn.gov.mx4.iphouse.rcimx.net.,208.80.204.253
albertvillemn.gov.mx1.iphouse.rcimx.net.,216.250.188.216
albertvillemn.gov.mx1.iphouse.rcimx.net.,216.250.188.217
albertvillemn.gov.mx2.iphouse.rcimx.net.,216.250.188.216
albertvillemn.gov.mx2.iphouse.rcimx.net.,216.250.188.217
albertvillemn.gov.mx3.iphouse.rcimx.net.,216.250.188.217
albertvillemn.gov.mx3.iphouse.rcimx.net.,216.250.188.216
d271483a.ess.barracudanetworks.com.,209.222.82.253
d271483a.ess.barracudanetworks.com.,209.222.82.255
d271483a.ess.barracudanetworks.com.,209.222.82.252
d271483b.ess.barracudanetworks.com.,209.222.82.253
d271483b.ess.barracudanetworks.com.,209.222.82.255
d271483b.ess.barracudanetworks.com.,209.222.82.252
aledotx-gov.mail.protection.outlook.com.,52.101.8.36
aledotx-gov.mail.protection.outlook.com.,52.101.41.4
aledotx-gov.mail.protection.outlook.com.,52.101.9.2
aledotx-gov.mail.protection.outlook.com.,52.101.41.6
aledotx-gov.mail.protection.outlook.com.,52.101.8.44
aledotx-gov.mail.protection.outlook.com.,52.101.8.32
aledotx-gov.mail.protection.outlook.com.,52.101.194.0
mail.aleknagikak.gov.,162.218.251.159
d170372a.ess.barracudanetworks.com.,209.222.82.252
d170372a.ess.barracudanetworks.com.,209.222.82.253
d170372a.ess.barracudanetworks.com.,209.222.82.255
d170372b.ess.barracudanetworks.com.,209.222.82.252
d170372b.ess.barracudanetworks.com.,209.222.82.255
d170372b.ess.barracudanetworks.com.,209.222.82.253
alexandercityal-gov.mail.eo.outlook.com.,52.101.42.10
alexandercityal-gov.mail.eo.outlook.com.,52.101.9.12
alexandercityal-gov.mail.eo.outlook.com.,52.101.41.4
alexandercityal-gov.mail.eo.outlook.com.,52.101.10.10
alexandercityal-gov.mail.eo.outlook.com.,52.101.41.0
alexandercityal-gov.mail.eo.outlook.com.,52.101.194.4
alexandercityal-gov.mail.eo.outlook.com.,52.101.8.44
alexandercityal-gov.mail.protection.outlook.com.,52.101.9.17
alexandercityal-gov.mail.protection.outlook.com.,52.101.40.0
alexandercityal-gov.mail.protection.outlook.com.,52.101.42.9
alexandercityal-gov.mail.protection.outlook.com.,52.101.10.8
alexandercityal-gov.mail.protection.outlook.com.,52.101.40.1
alexandercityal-gov.mail.protection.outlook.com.,52.101.10.6
alexandercityal-gov.mail.protection.outlook.com.,52.101.41.3
d312765b.ess.barracudanetworks.com.,209.222.82.255
d312765b.ess.barracudanetworks.com.,209.222.82.253
d312765b.ess.barracudanetworks.com.,209.222.82.252
d312765a.ess.barracudanetworks.com.,209.222.82.253
d312765a.ess.barracudanetworks.com.,209.222.82.255
d312765a.ess.barracudanetworks.com.,209.222.82.252
alexandriava-gov.mail.protection.outlook.com.,52.101.9.19
alexandriava-gov.mail.protection.outlook.com.,52.101.8.52
alexandriava-gov.mail.protection.outlook.com.,52.101.11.12
alexandriava-gov.mail.protection.outlook.com.,52.101.8.50
cloud12.spamtitan.com.,18.223.46.43
cloud12.spamtitan.com.,18.217.94.247
cloud12.spamtitan.com.,3.19.87.175
cloud11.spamtitan.com.,3.19.87.175
cloud11.spamtitan.com.,18.217.94.247
cloud11.spamtitan.com.,18.223.46.43
algonaiowa-gov.mail.protection.outlook.com.,52.101.8.32
algonaiowa-gov.mail.protection.outlook.com.,52.101.42.13
algonaiowa-gov.mail.protection.outlook.com.,52.101.10.1
algonaiowa-gov.mail.protection.outlook.com.,52.101.10.2
algonaiowa-gov.mail.protection.outlook.com.,52.101.41.6
algonaiowa-gov.mail.protection.outlook.com.,52.101.40.6
algonaiowa-gov.mail.protection.outlook.com.,52.101.40.4
mail.algonawa.gov.,146.129.245.177
algoodtn-gov.mail.eo.outlook.com.,52.101.41.0
algoodtn-gov.mail.eo.outlook.com.,52.101.9.12
algoodtn-gov.mail.eo.outlook.com.,52.101.10.8
algoodtn-gov.mail.eo.outlook.com.,52.101.9.2
