url,exchange,preference,class,type
alsar.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
alsenate.gov,,,,
alsteadnh.gov,,,,
altavistava.gov,d129127b.ess.barracudanetworks.com.,10.0,IN,MX
alton-tx.gov,mx2.zoho.com.,20.0,IN,MX
altoona-wi.gov,d270992b.ess.barracudanetworks.com.,10.0,IN,MX
altoonapa.gov,ALT1.ASPMX.L.GOOGLE.COM.,5.0,IN,MX
altusandc.gov,sxht-esa-002u.aftac.gov.,10.0,IN,MX
altusok.gov,mx2-us1.ppe-hosted.com.,20.0,IN,MX
alzheimers.gov,nihcesxwayst05.hub.nih.gov.,10.0,IN,MX
amarillo.gov,us-smtp-inbound-1.mimecast.com.,10.0,IN,MX
ameniany.gov,,,,
america.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
america250.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
americanfork.gov,,,,
americansamoa.gov,,,,
americorps.gov,,,,
americorpsoig.gov,,,,
americusga.gov,d148570b.ess.barracudanetworks.com.,20.0,IN,MX
amerywi.gov,,,,
amesburyma.gov,,,,
ameslab.gov,alt1.aspmx.l.google.com.,5.0,IN,MX
amherstma.gov,mail.global.frontbridge.com.,20.0,IN,MX
amherstnh.gov,,,,
amherstva.gov,,,,
amitecountyms.gov,mx-02.eapps.com.,20.0,IN,MX
amityvillepdny.gov,,,,
amsterdamny.gov,amsterdamny-gov.mx2.arsmtp.com.,20.0,IN,MX
amtrakoig.gov,,,,
anacorteswa.gov,d317506b.ess.barracudanetworks.com.,20.0,IN,MX
anchorageak.gov,mxb-0000f701.gslb.pphosted.com.,20.0,IN,MX
andalusiaal.gov,d189157b.ess.barracudanetworks.com.,20.0,IN,MX
andersoncountysc.gov,,,,
andersoncountytn.gov,,,,
andersontownshipoh.gov,,,,
andersontx.gov,alt2.aspmx.l.google.com.,5.0,IN,MX
andover-nh.gov,,,,
andoverma.gov,usb-smtp-inbound-1.mimecast.com.,10.0,IN,MX
andovermn.gov,d120888b.ess.barracudanetworks.com.,20.0,IN,MX
andrewcountymo.gov,,,,
andrewsnc.gov,,,,
androscoggincountyema.gov,,,,
androscoggincountymaine.gov,,,,
angelfirenm.gov,mx2-us.emailsecurity.app.,20.0,IN,MX
angelscamp.gov,d277736b.ess.barracudanetworks.com.,20.0,IN,MX
ankenyiowa.gov,mx2-us1.ppe-hosted.com.,10.0,IN,MX
anl.gov,mailgateway.anl.gov.,10.0,IN,MX
annapolis.gov,ALT1.ASPMX.L.GOOGLE.COM.,5.0,IN,MX
annatexas.gov,mx-cluster-usa02.hornetsecurity.com.,20.0,IN,MX
annettatx.gov,mx2.emailsrvr.com.,20.0,IN,MX
annistonal.gov,,,,
anokacountymn.gov,,,,
ansoncountync.gov,,,,
antiochca.gov,d185714b.ess.barracudanetworks.com.,99.0,IN,MX
antiochcaboard.gov,d222948b.ess.barracudanetworks.com.,20.0,IN,MX
antiochcacommission.gov,d222947a.ess.barracudanetworks.com.,20.0,IN,MX
antiochcacommittee.gov,d222946a.ess.barracudanetworks.com.,20.0,IN,MX
