url,ipv4
mx2.emailsrvr.com.,213.171.216.40
mx2.emailsrvr.com.,185.151.28.67
mx2.emailsrvr.com.,194.76.17.83
mx2.emailsrvr.com.,185.151.28.67
mx2.emailsrvr.com.,52.101.89.2
mx2.emailsrvr.com.,52.101.89.1
mx2.emailsrvr.com.,52.101.99.0
mx2.emailsrvr.com.,52.101.89.0
mx2.emailsrvr.com.,52.101.99.2
mx2.emailsrvr.com.,185.151.28.67
mx2.emailsrvr.com.,185.151.28.67
mx2.emailsrvr.com.,184.106.54.2
mx2.emailsrvr.com.,146.20.161.1
mx2.emailsrvr.com.,52.101.99.2
mx2.emailsrvr.com.,52.101.89.2
mx2.emailsrvr.com.,52.101.89.1
mx2.emailsrvr.com.,52.101.99.0
mx2.emailsrvr.com.,52.101.89.0
mx2.emailsrvr.com.,185.151.28.67
mx2.emailsrvr.com.,195.206.165.141
mx2.emailsrvr.com.,109.70.148.25
mx2.emailsrvr.com.,176.9.100.171
mx2.emailsrvr.com.,176.9.100.171
mx2.emailsrvr.com.,195.206.165.141
mx2.emailsrvr.com.,109.70.148.25
mx2.emailsrvr.com.,185.151.28.67
mx2.emailsrvr.com.,185.151.28.67
mx2.emailsrvr.com.,185.151.28.67
mx2.emailsrvr.com.,194.76.17.83
mx2.emailsrvr.com.,52.101.89.0
mx2.emailsrvr.com.,52.101.99.2
mx2.emailsrvr.com.,52.101.89.1
mx2.emailsrvr.com.,52.101.89.2
mx2.emailsrvr.com.,52.101.99.0
mx2.emailsrvr.com.,176.9.100.171
mx2.emailsrvr.com.,195.206.165.141
mx2.emailsrvr.com.,109.70.148.25
mx2.emailsrvr.com.,195.206.165.141
mx2.emailsrvr.com.,109.70.148.25
mx2.emailsrvr.com.,176.9.100.171
mx2.emailsrvr.com.,185.53.56.47
mx2.emailsrvr.com.,185.53.56.45
mx2.emailsrvr.com.,185.53.56.46
mx2.emailsrvr.com.,185.53.56.44
mx2.emailsrvr.com.,185.151.28.67
mx2.emailsrvr.com.,185.151.28.67
mx2.emailsrvr.com.,185.151.28.67
mx2.emailsrvr.com.,52.101.89.1
mx2.emailsrvr.com.,52.101.89.2
mx2.emailsrvr.com.,52.101.99.0
mx2.emailsrvr.com.,52.101.89.0
mx2.emailsrvr.com.,52.101.99.2
mx2.emailsrvr.com.,192.162.217.4
mx2.emailsrvr.com.,192.162.217.4
mx2.emailsrvr.com.,192.162.217.4
