url,,url,exchange,preference,class,type
dextermi.gov,1912,dextermi.gov,aspmx.l.google.com.,1,IN,MX
dfc.gov,11622,dfc.gov,dfc-gov.mail.protection.outlook.com.,0,IN,MX
dfspdfl.gov,1917,dfspdfl.gov,dfspdfl-gov.mail.protection.outlook.com.,0,IN,MX
dhaz.gov,1918,dhaz.gov,dhaz-gov.mail.protection.outlook.com.,0,IN,MX
dhhs.gov,10750,dhhs.gov,smtp2.ees.hhs.gov.,10,IN,MX
dhs.gov,10894,dhs.gov,mxa-00376703.gslb.gpphosted.com.,10,IN,MX
diamondbarca.gov,1920,diamondbarca.gov,d207631a.ess.barracudanetworks.com.,5,IN,MX
diamondbluffwi.gov,1921,diamondbluffwi.gov,mx1.megamailservers.com.,10,IN,MX
dickinson-tx.gov,1925,dickinson-tx.gov,dickinsontx-gov02c.mail.protection.outlook.com.,0,IN,MX
dickinsoncountyiowa.gov,8539,dickinsoncountyiowa.gov,dickinsoncountyiowa-gov.mail.protection.outlook.com.,0,IN,MX
dickinsoncountymi.gov,8540,dickinsoncountymi.gov,dickinsoncountymi-gov.mx1.arsmtp.com.,10,IN,MX
dickinsoncountysheriffmi.gov,8542,dickinsoncountysheriffmi.gov,dickinsoncountysheriffmi.gov.1.0001.arsmtp.com.,10,IN,MX
dickinsontexas.gov,1924,dickinsontexas.gov,dickinsontexas-gov.mail.protection.outlook.com.,0,IN,MX
dicksoncity-pa.gov,1930,dicksoncity-pa.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
dicksoncosheriff.gov,8544,dicksoncosheriff.gov,dicksoncosheriff-gov.mail.protection.outlook.com.,0,IN,MX
dicksoncountytn.gov,8546,dicksoncountytn.gov,mx1.emailsrvr.com.,10,IN,MX
digginsmo.gov,1931,digginsmo.gov,digginsmo.gov.,0,IN,MX
dighton-ma.gov,1932,dighton-ma.gov,mail.dighton-ma.gov.,10,IN,MX
digitaltowpathny.gov,11968,digitaltowpathny.gov,mf2.digitaltowpath.org.,10,IN,MX
dixoncountyne.gov,8547,dixoncountyne.gov,dixoncountyne-gov.mail.protection.outlook.com.,0,IN,MX
dixonfireca.gov,1933,dixonfireca.gov,dixonfireca-gov.mail.protection.outlook.com.,0,IN,MX
dixonmo.gov,1934,dixonmo.gov,dixonmo-gov.mail.protection.outlook.com.,0,IN,MX
dixonpoliceca.gov,1936,dixonpoliceca.gov,dixonpoliceca-gov.mail.protection.outlook.com.,0,IN,MX
dkcoks.gov,8548,dkcoks.gov,dkcoks-gov.mail.protection.outlook.com.,0,IN,MX
dnfsb.gov,10471,dnfsb.gov,dnfsb-gov.mail.protection.outlook.com.,0,IN,MX
dni.gov,11188,dni.gov,mail1.cia.gov.,10,IN,MX
doc.gov,10486,doc.gov,mxb-0000c001.gslb.pphosted.com.,10,IN,MX
docline.gov,10751,docline.gov,nihcesxway4.hub.nih.gov.,10,IN,MX
doddridgecountywv.gov,8550,doddridgecountywv.gov,mx1.emailsrvr.com.,10,IN,MX
dodgecountymn.gov,8551,dodgecountymn.gov,mx.dodgecountymn.gov.,10,IN,MX
dodgecountyne.gov,8552,dodgecountyne.gov,dodgecountyne-gov.mail.protection.outlook.com.,0,IN,MX
dodgevillewi.gov,1937,dodgevillewi.gov,dodgevillewi-gov.mail.protection.outlook.com.,0,IN,MX
doe.gov,10586,doe.gov,mxa-002bc302.gslb.gpphosted.com.,10,IN,MX
doi.gov,11080,doi.gov,doi-gov.mail.protection.outlook.com.,0,IN,MX
doioig.gov,11081,doioig.gov,doioig-gov.mail.protection.outlook.com.,5,IN,MX
doj.gov,10943,doj.gov,mx-da6.usdoj.gov.,10,IN,MX
dojmt.gov,12753,dojmt.gov,aspmx.l.google.com.,1,IN,MX
dol.gov,11038,dol.gov,dol-gov.mail.protection.outlook.com.,0,IN,MX
doleta.gov,11034,doleta.gov,sil-mta-dmz-02-pub.dol.gov.,50,IN,MX
donaciondeorganos.gov,10754,donaciondeorganos.gov,smtp2.ees.hhs.gov.,10,IN,MX
donaldoregon.gov,1938,donaldoregon.gov,d280613a.ess.barracudanetworks.com.,50,IN,MX
donotcall.gov,11307,donotcall.gov,mx10.consumersentinel.gov.,10,IN,MX
doral-fl.gov,1941,doral-fl.gov,d85356a.ess.barracudanetworks.com.,10,IN,MX
dorchestercountysc.gov,8553,dorchestercountysc.gov,dorchestercountysc-gov.mail.protection.outlook.com.,0,IN,MX
dorrtownshipmi.gov,1944,dorrtownshipmi.gov,mx1.mtaroutes.com.,10,IN,MX
dot.gov,11163,dot.gov,dot-gov.mail.protection.outlook.com.,1,IN,MX
dotgov.gov,10896,dotgov.gov,mxa-00376703.gslb.gpphosted.com.,10,IN,MX
dotlakevillagecouncil-nsn.gov,13597,dotlakevillagecouncil-nsn.gov,aspmx.l.google.com.,10,IN,MX
douglas-ma.gov,1948,douglas-ma.gov,douglasma-gov01i.mail.protection.outlook.com.,0,IN,MX
douglasaz.gov,1947,douglasaz.gov,mx-01-us-east-2.prod.hydra.sophos.com.,10,IN,MX
douglascounty-ne.gov,8557,douglascounty-ne.gov,aspmx.l.google.com.,1,IN,MX
douglascountyga.gov,8554,douglascountyga.gov,douglascountyga-gov.mail.protection.outlook.com.,0,IN,MX
douglascountyil.gov,8555,douglascountyil.gov,douglascountyil-gov.mail.protection.outlook.com.,0,IN,MX
douglascountymn.gov,8556,douglascountymn.gov,douglascountymn-gov.mail.protection.outlook.com.,0,IN,MX
douglascountynv.gov,8562,douglascountynv.gov,mail.dcnv.us.,10,IN,MX
douglascountyor.gov,8563,douglascountyor.gov,douglascountyor-gov.mail.protection.outlook.com.,0,IN,MX
douglascountywi.gov,8564,douglascountywi.gov,mx2-us1.ppe-hosted.com.,10,IN,MX
douglasmi.gov,1950,douglasmi.gov,mx1.mtaroutes.com.,10,IN,MX
douglasvillega.gov,1953,douglasvillega.gov,d110129a.ess.barracudanetworks.com.,0,IN,MX
doverma.gov,1957,doverma.gov,aspmx.l.google.com.,1,IN,MX
downievillepudca.gov,8566,downievillepudca.gov,in1-smtp.messagingengine.com.,10,IN,MX
dra.gov,10472,dra.gov,dra-gov.mail.protection.outlook.com.,0,IN,MX
dracutma.gov,1962,dracutma.gov,mx1.us.mailhop.org.,1,IN,MX
draperutah.gov,1964,draperutah.gov,draperutah.gov.2.0001.arsmtp.com.,10,IN,MX
drbc.gov,11841,drbc.gov,mxb-0000da01.gslb.pphosted.com.,10,IN,MX
drdca.gov,11970,drdca.gov,drdca-gov.mail.protection.outlook.com.,0,IN,MX
drugabuse.gov,10756,drugabuse.gov,nihcesxway4.hub.nih.gov.,10,IN,MX
dublin-ca.gov,1968,dublin-ca.gov,mail.dublin-ca.gov.,110,IN,MX
dublinca.gov,1973,dublinca.gov,mail.dublinca.gov.,110,IN,MX
dublinohiousa.gov,7882,dublinohiousa.gov,mx1.emailsrvr.com.,10,IN,MX
duboispa.gov,1975,duboispa.gov,mx1-us1.ppe-hosted.com.,0,IN,MX
dubuquecountyiowa.gov,8568,dubuquecountyiowa.gov,dubuquecountyiowa-gov.mail.protection.outlook.com.,0,IN,MX
dudleyma.gov,1976,dudleyma.gov,d278811a.ess.barracudanetworks.com.,20,IN,MX
dudleypolicema.gov,1978,dudleypolicema.gov,dudleypolicema-gov.mail.protection.outlook.com.,0,IN,MX
duewestsc.gov,1980,duewestsc.gov,mx01.duewestsc.gov.,10,IN,MX
duluthmn.gov,1981,duluthmn.gov,duluthmn-gov.mail.protection.outlook.com.,5,IN,MX
dumastx.gov,1982,dumastx.gov,spamtitan.foundageek.com.,0,IN,MX
dumfriesva.gov,1983,dumfriesva.gov,dumfriesva-gov.mail.protection.outlook.com.,0,IN,MX
dumontnj.gov,1984,dumontnj.gov,dumontnj.gov.,0,IN,MX
dunbarboropa.gov,1985,dunbarboropa.gov,smtp-fwd.wordpress.com.,0,IN,MX
duncanok.gov,1986,duncanok.gov,duncanok-gov.mail.protection.outlook.com.,0,IN,MX
duncanvilletx.gov,1987,duncanvilletx.gov,duncanvilletx-gov.mail.protection.outlook.com.,0,IN,MX
dunellen-nj.gov,1990,dunellen-nj.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
dunkirkin.gov,1994,dunkirkin.gov,dunkirkin-gov.mail.protection.outlook.com.,0,IN,MX
dunlaptn.gov,1995,dunlaptn.gov,mx.dunlaptn.gov.,10,IN,MX
dunmorepa.gov,1996,dunmorepa.gov,aspmx.l.google.com.,1,IN,MX
dunncountywi.gov,8569,dunncountywi.gov,dunncountywi-gov.mail.protection.outlook.com.,0,IN,MX
dunstable-ma.gov,2002,dunstable-ma.gov,mx1-us1.ppe-hosted.com.,0,IN,MX
dunwoodyga.gov,2003,dunwoodyga.gov,d66981a.ess.barracudanetworks.com.,10,IN,MX
dupagecounty.gov,8574,dupagecounty.gov,primary.us.email.fireeyecloud.com.,0,IN,MX
dupontwa.gov,2005,dupontwa.gov,dupontwa-gov.mail.protection.outlook.com.,10,IN,MX
duquoinil.gov,2006,duquoinil.gov,mail1.mayernetworks.com.,10,IN,MX
durandwi.gov,2008,durandwi.gov,aspmx.l.google.com.,10,IN,MX
durangoco.gov,2013,durangoco.gov,durangoco-gov.mail.protection.outlook.com.,10,IN,MX
durhammaine.gov,2014,durhammaine.gov,d243134a.ess.barracudanetworks.com.,10,IN,MX
durhamnc.gov,2016,durhamnc.gov,d184298a.ess.barracudanetworks.com.,5,IN,MX
durhamnh.gov,2018,durhamnh.gov,durhamnh-gov.mail.protection.outlook.com.,0,IN,MX
dushorepa.gov,2020,dushorepa.gov,aspmx.l.google.com.,1,IN,MX
dutchessny.gov,8575,dutchessny.gov,dutchessny-gov.mail.protection.outlook.com.,0,IN,MX
duttonmt.gov,2024,duttonmt.gov,duttonmt-gov.mail.protection.outlook.com.,0,IN,MX
duvalelections.gov,8576,duvalelections.gov,duvalelections-gov.mail.protection.outlook.com.,0,IN,MX
duvallwa.gov,2025,duvallwa.gov,duvallwa-gov.mail.protection.outlook.com.,10,IN,MX
duxbury-ma.gov,2027,duxbury-ma.gov,us-smtp-inbound-1.mimecast.com.,1,IN,MX
dwgpa.gov,2028,dwgpa.gov,dwgpa-gov.mail.protection.outlook.com.,0,IN,MX
dyersburgtn.gov,2029,dyersburgtn.gov,mail.dyersburgtn.gov.,0,IN,MX
eac.gov,11199,eac.gov,eac-gov.mail.protection.outlook.com.,0,IN,MX
eaganmn.gov,2030,eaganmn.gov,eaganmn-gov.mail.protection.outlook.com.,0,IN,MX
eagaraz.gov,2031,eagaraz.gov,eagaraz-gov.mail.protection.outlook.com.,0,IN,MX
eagle-wi.gov,2043,eagle-wi.gov,eagle-wi.gov.,0,IN,MX
eaglegrove.gov,2032,eaglegrove.gov,eaglegrove-gov.mail.protection.outlook.com.,0,IN,MX
eaglelakefl.gov,2033,eaglelakefl.gov,eaglelakefl-gov.mail.protection.outlook.com.,0,IN,MX
eaglene.gov,2038,eaglene.gov,aspmx.l.google.com.,1,IN,MX
eaglepasstx.gov,2040,eaglepasstx.gov,d302822a.ess.barracudanetworks.com.,10,IN,MX
eagleriverwi.gov,2041,eagleriverwi.gov,eagleriverwi-gov.mail.protection.outlook.com.,0,IN,MX
eaglevilletn.gov,2042,eaglevilletn.gov,eaglevilletn-gov.mail.protection.outlook.com.,0,IN,MX
eastborough-ks.gov,2044,eastborough-ks.gov,eastboroughks-gov02i.mail.protection.outlook.com.,0,IN,MX
eastbridgewaterma.gov,2045,eastbridgewaterma.gov,d262692a.ess.barracudanetworks.com.,99,IN,MX
eastcoventry-pa.gov,2048,eastcoventry-pa.gov,eastcoventry-pa.gov.1.0001.arsmtp.com.,10,IN,MX
easternmontanafair.gov,8577,easternmontanafair.gov,mx1.emailsrvr.com.,10,IN,MX
eastfishkillny.gov,2049,eastfishkillny.gov,eastfishkillny-gov.mail.protection.outlook.com.,0,IN,MX
eastfordct.gov,2050,eastfordct.gov,mx1-us1.ppe-hosted.com.,0,IN,MX
eastgrmi.gov,2052,eastgrmi.gov,eastgrmi-gov.mail.protection.outlook.com.,0,IN,MX
easthaddamct.gov,2053,easthaddamct.gov,easthaddamct-gov.mail.protection.outlook.com.,10,IN,MX
eastham-ma.gov,2054,eastham-ma.gov,easthamma-gov01i.mail.protection.outlook.com.,0,IN,MX
easthamptonct.gov,2055,easthamptonct.gov,easthamptonct-gov.mail.protection.outlook.com.,0,IN,MX
easthamptonctha.gov,11971,easthamptonctha.gov,easthamptonctha-gov.mail.protection.outlook.com.,0,IN,MX
easthamptonma.gov,2060,easthamptonma.gov,aspmx.l.google.com.,1,IN,MX
easthamptonny.gov,2061,easthamptonny.gov,mx1.emailsrvr.com.,10,IN,MX
easthamptonvillageny.gov,2064,easthamptonvillageny.gov,mx1-us1.ppe-hosted.com.,0,IN,MX
easthartfordct.gov,2066,easthartfordct.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
easthaven-ct.gov,2068,easthaven-ct.gov,easthavenct-gov02c.mail.protection.outlook.com.,0,IN,MX
eastkingstonnh.gov,2069,eastkingstonnh.gov,EASTKINGSTONNH-GOV.mail.protection.outlook.com.,0,IN,MX
eastlandcountytexas.gov,8579,eastlandcountytexas.gov,eastlandcountytexas-gov.mail.protection.outlook.com.,10,IN,MX
eastlandtexas.gov,2070,eastlandtexas.gov,eastlandtexas-gov.mail.protection.outlook.com.,0,IN,MX
eastlongmeadowma.gov,2075,eastlongmeadowma.gov,aspmx.l.google.com.,1,IN,MX
eastmountaintx.gov,2077,eastmountaintx.gov,mx1.emailsrvr.com.,10,IN,MX
easton-pa.gov,2084,easton-pa.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
eastonct.gov,2078,eastonct.gov,eastonct-gov.mail.protection.outlook.com.,0,IN,MX
eastonmd.gov,2079,eastonmd.gov,aspmx.l.google.com.,1,IN,MX
eastorange-nj.gov,2086,eastorange-nj.gov,autodiscover.eastorange-nj.gov.,0,IN,MX
eastpalestine-oh.gov,2087,eastpalestine-oh.gov,mail.eastpalestine-oh.gov.,0,IN,MX
eastpointemi.gov,2088,eastpointemi.gov,eastpointemi-gov.mail.protection.outlook.com.,0,IN,MX
eastport-me.gov,2089,eastport-me.gov,eastportme-gov02b.mail.protection.outlook.com.,0,IN,MX
eastprovidenceri.gov,2091,eastprovidenceri.gov,eastprovidenceri-gov.mail.protection.outlook.com.,0,IN,MX
eastridgetn.gov,2094,eastridgetn.gov,usa.mx1.mailanyone.net.,10,IN,MX
eastspencer.gov,2096,eastspencer.gov,eastspencer-gov.mail.protection.outlook.com.,0,IN,MX
easttroywi.gov,2097,easttroywi.gov,easttroywi.gov.1.0001.arsmtp.com.,10,IN,MX
eastvaleca.gov,2099,eastvaleca.gov,eastvaleca-gov.mail.protection.outlook.com.,10,IN,MX
eastwashingtonpa.gov,2105,eastwashingtonpa.gov,aspmx.l.google.com.,1,IN,MX
eastwenatcheewa.gov,2106,eastwenatcheewa.gov,eastwenatcheewa-gov.mail.protection.outlook.com.,0,IN,MX
eastwindsor-ct.gov,2107,eastwindsor-ct.gov,eastwindsorct-gov02i.mail.protection.outlook.com.,0,IN,MX
eatonville-wa.gov,2108,eatonville-wa.gov,eatonvillewa-gov02e.mail.protection.outlook.com.,0,IN,MX
eauclairecounty.gov,8582,eauclairecounty.gov,mx1.us.mailhop.org.,10,IN,MX
eauclairewi.gov,2109,eauclairewi.gov,cust14034-1.in.mailcontrol.com.,10,IN,MX
ebci-nsn.gov,13598,ebci-nsn.gov,d238527a.ess.barracudanetworks.com.,0,IN,MX
ebcired-nsn.gov,13603,ebcired-nsn.gov,d238528a.ess.barracudanetworks.com.,0,IN,MX
ebki-nsn.gov,13604,ebki-nsn.gov,ebkinsn-gov01b.mail.protection.outlook.com.,0,IN,MX
ecfc.gov,11417,ecfc.gov,ecfc-gov.mail.protection.outlook.com.,0,IN,MX
eckfordtownshipmi.gov,2112,eckfordtownshipmi.gov,mail.eckfordtownshipmi.gov.,0,IN,MX
eclectic-al.gov,2114,eclectic-al.gov,mx.zoho.com.,10,IN,MX
ecorsemi.gov,2120,ecorsemi.gov,aspmx.l.google.com.,1,IN,MX
ecr.gov,11452,ecr.gov,ecr-gov.mail.protection.outlook.com.,0,IN,MX
ecrums.gov,2121,ecrums.gov,ecrums-gov.mail.protection.outlook.com.,10,IN,MX
ectorcountytx.gov,8584,ectorcountytx.gov,ectorcountytx-gov.mail.protection.outlook.com.,0,IN,MX
ecvtd.gov,11843,ecvtd.gov,SMTP.GOOGLE.COM.,1,IN,MX
ed.gov,10565,ed.gov,ed-gov.mail.protection.outlook.com.,10,IN,MX
eda.gov,10488,eda.gov,mxa-0000c001.gslb.pphosted.com.,10,IN,MX
eddingtonmaine.gov,2122,eddingtonmaine.gov,eddingtonmaine.gov.,0,IN,MX
edenny.gov,2124,edenny.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
edgarcountyillinois.gov,8585,edgarcountyillinois.gov,edgarcountyillinois-gov.mail.protection.outlook.com.,0,IN,MX
edgarwi.gov,2128,edgarwi.gov,edgarwi-gov.mail.protection.outlook.com.,0,IN,MX
edgewaterfl.gov,2129,edgewaterfl.gov,mx-caprica.easydns.com.,0,IN,MX
edgewood-fl.gov,2130,edgewood-fl.gov,edgewoodfl-gov02b.mail.protection.outlook.com.,0,IN,MX
edgewood-nm.gov,2134,edgewood-nm.gov,mx01.hornetsecurity.com.,10,IN,MX
edgewoodky.gov,2132,edgewoodky.gov,nkol.net.mx1.fusemail.net.,10,IN,MX
edinamn.gov,2140,edinamn.gov,mailf2.edinamn.gov.,20,IN,MX
edisonnj.gov,2142,edisonnj.gov,barracuda.edisonnj.gov.,0,IN,MX
edmondok.gov,2143,edmondok.gov,edmondok-gov.mail.protection.outlook.com.,0,IN,MX
edmondswa.gov,2144,edmondswa.gov,edmondswa-gov.mail.protection.outlook.com.,5,IN,MX
edmonstonmd.gov,2145,edmonstonmd.gov,edmonstonmd-gov.mail.protection.outlook.com.,0,IN,MX
eeoc.gov,11228,eeoc.gov,eeoc-gov.mail.protection.outlook.com.,0,IN,MX
effinghamcountyil.gov,8586,effinghamcountyil.gov,effinghamcountyil-gov.mail.protection.outlook.com.,0,IN,MX
efiledcsuperiorcourt.gov,12757,efiledcsuperiorcourt.gov,mail.efiledcsuperiorcourt.gov.,0,IN,MX
efiletexas.gov,12758,efiletexas.gov,mxb-0018e002.gslb.pphosted.com.,10,IN,MX
eggertsvillefiredistrict.gov,2146,eggertsvillefiredistrict.gov,eggertsvillefiredistrict-gov.mail.protection.outlook.com.,0,IN,MX
egremont-ma.gov,2147,egremont-ma.gov,d301690a.ess.barracudanetworks.com.,10,IN,MX
egvilparks.gov,11972,egvilparks.gov,aspmx.l.google.com.,1,IN,MX
ehamptonny.gov,2150,ehamptonny.gov,ehamptonny.gov.x1.mx-route.com.,10,IN,MX
ehawaii.gov,12760,ehawaii.gov,mail.ehawaii.gov.,10,IN,MX
ehr.gov,11184,ehr.gov,pri-jeemsg.eemsg.mail.mil.,10,IN,MX
eia.gov,10588,eia.gov,mxb-002bc302.gslb.gpphosted.com.,10,IN,MX
eklutna-nsn.gov,13605,eklutna-nsn.gov,eklutna-nsn.gov.,0,IN,MX
elbaal.gov,2153,elbaal.gov,elbaal-gov.mail.protection.outlook.com.,0,IN,MX
elbertcounty-co.gov,8587,elbertcounty-co.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
elburn.gov,2155,elburn.gov,mx10.antispam.mailspamprotection.com.,10,IN,MX
elburnfire.gov,11978,elburnfire.gov,filter1.partnerone.net.,10,IN,MX
elcajon.gov,2157,elcajon.gov,elcajon-gov.mail.protection.outlook.com.,0,IN,MX
eldoradoil.gov,2158,eldoradoil.gov,eldoradoil-gov.mail.protection.outlook.com.,0,IN,MX
elearningnc.gov,12765,elearningnc.gov,aspmx.l.google.com.,10,IN,MX
elgintexas.gov,2159,elgintexas.gov,elgintexas-gov.mail.protection.outlook.com.,0,IN,MX
elizabethcitync.gov,2161,elizabethcitync.gov,aspmx.l.google.com.,10,IN,MX
elizabethtown-ny.gov,2166,elizabethtown-ny.gov,mx1.emailsrvr.com.,10,IN,MX
elizabethtownky.gov,2165,elizabethtownky.gov,elizabethtownky-gov.mail.protection.outlook.com.,0,IN,MX
elkhartlakewi.gov,2168,elkhartlakewi.gov,elkhartlakewi-gov.mail.protection.outlook.com.,0,IN,MX
elkmontal.gov,2169,elkmontal.gov,elkmontal-gov.mail.protection.outlook.com.,0,IN,MX
elkocitynv.gov,2170,elkocitynv.gov,elkocitynv-gov.mail.protection.outlook.com.,0,IN,MX
elkocountynv.gov,10415,elkocountynv.gov,elkocountynv-gov.mail.protection.outlook.com.,0,IN,MX
elkrivermn.gov,2171,elkrivermn.gov,d15796a.ess.barracudanetworks.com.,10,IN,MX
elktonva.gov,2173,elktonva.gov,mx-rtr01.ntelos.net.,0,IN,MX
elktownshipnj.gov,2176,elktownshipnj.gov,mx1.mtaroutes.com.,10,IN,MX
ellago-tx.gov,2178,ellago-tx.gov,mx00.1and1.com.,10,IN,MX
ellendalend.gov,2183,ellendalend.gov,aspmx.l.google.com.,1,IN,MX
ellensburgwa.gov,2185,ellensburgwa.gov,ellensburgwa-gov.mail.protection.outlook.com.,0,IN,MX
ellington-ct.gov,2186,ellington-ct.gov,d209807a.ess.barracudanetworks.com.,10,IN,MX
ellsworthmaine.gov,2188,ellsworthmaine.gov,d25034a.ess.barracudanetworks.com.,10,IN,MX
elmirageaz.gov,2189,elmirageaz.gov,mx1-us1.ppe-hosted.com.,20,IN,MX
elmonteca.gov,2192,elmonteca.gov,d258678a.ess.barracudanetworks.com.,10,IN,MX
elmwoodmi.gov,2193,elmwoodmi.gov,elmwoodmi-gov.mail.protection.outlook.com.,0,IN,MX
elmwoodplace-oh.gov,2194,elmwoodplace-oh.gov,mtec360-com.p10.mxthunder.com.,10,IN,MX
elon.gov,2198,elon.gov,elon-gov.mail.protection.outlook.com.,0,IN,MX
eloyaz.gov,2199,eloyaz.gov,exchmain.ci.eloy.az.us.,10,IN,MX
elpasoco.gov,8589,elpasoco.gov,elpasoco-gov.mail.protection.outlook.com.,0,IN,MX
elpasotexas.gov,2200,elpasotexas.gov,elpasotexas-gov.mail.protection.outlook.com.,10,IN,MX
elrenook.gov,2201,elrenook.gov,elrenook-gov.mail.protection.outlook.com.,0,IN,MX
emanuelco-ga.gov,8592,emanuelco-ga.gov,emanuel.in.tmes.trendmicro.com.,10,IN,MX
emeraldbay-tx.gov,2202,emeraldbay-tx.gov,emeraldbaytx-gov02e.mail.protection.outlook.com.,10,IN,MX
emmauspa.gov,2203,emmauspa.gov,emmauspa-gov.mail.protection.outlook.com.,0,IN,MX
emmetcountyia.gov,8593,emmetcountyia.gov,emmetcountyia-gov.mail.protection.outlook.com.,0,IN,MX
emmitsburgmd.gov,2204,emmitsburgmd.gov,emmitsburgmd.gov.us.emailservice.io.,10,IN,MX
emporia-kansas.gov,2205,emporia-kansas.gov,emporiakansas-gov01i.mail.protection.outlook.com.,10,IN,MX
emporiaks.gov,2206,emporiaks.gov,emporiaks-gov.mail.protection.outlook.com.,0,IN,MX
emscompact.gov,11845,emscompact.gov,emscompact-gov.mail.protection.outlook.com.,0,IN,MX
encinitasca.gov,2207,encinitasca.gov,encinitasca-gov.mail.protection.outlook.com.,1,IN,MX
encinitascalifornia.gov,2208,encinitascalifornia.gov,encinitascalifornia-gov.mail.protection.outlook.com.,0,IN,MX
energy.gov,10595,energy.gov,mxb-002bc302.gslb.gpphosted.com.,10,IN,MX
energycodes.gov,10592,energycodes.gov,energycodes-gov.mail.protection.outlook.com.,0,IN,MX
energycommunities.gov,10593,energycommunities.gov,mxa-002bc302.gslb.gpphosted.com.,10,IN,MX
energystar.gov,11203,energystar.gov,grid1f.gseg.att.com.,5,IN,MX
enfield-ct.gov,2209,enfield-ct.gov,enfield.org.,10,IN,MX
englewoodco.gov,2210,englewoodco.gov,englewoodco-gov.mail.protection.outlook.com.,10,IN,MX
ennistx.gov,2211,ennistx.gov,ennistx-gov.mail.protection.outlook.com.,0,IN,MX
enon-oh.gov,2212,enon-oh.gov,enonoh-gov01b.mail.protection.outlook.com.,0,IN,MX
enterpriseal.gov,2213,enterpriseal.gov,mail.enterpriseal.gov.,10,IN,MX
enterpriseoregon.gov,2214,enterpriseoregon.gov,enterpriseoregon-gov.mail.protection.outlook.com.,0,IN,MX
eop.gov,11229,eop.gov,inbound.mail.dmz.pitc.gov.,10,IN,MX
epa.gov,11204,epa.gov,usepa.mail.protection.outlook.com.,0,IN,MX
epcountytx.gov,8594,epcountytx.gov,epcountytx-gov.mail.protection.outlook.com.,10,IN,MX
epic.gov,10945,epic.gov,mx-da6.usdoj.gov.,10,IN,MX
eppingnh.gov,2215,eppingnh.gov,eppingnh-gov.mail.protection.outlook.com.,0,IN,MX
eprdco.gov,11979,eprdco.gov,d307648a.ess.barracudanetworks.com.,10,IN,MX
epsomnhpolice.gov,2216,epsomnhpolice.gov,epsomnhpolice-gov.mail.protection.outlook.com.,0,IN,MX
erda.gov,2219,erda.gov,aspmx.l.google.com.,1,IN,MX
erie.gov,8598,erie.gov,mx1.hc5432-24.iphmx.com.,10,IN,MX
erieco.gov,2222,erieco.gov,erieco-gov.mail.protection.outlook.com.,0,IN,MX
eriecountyohioboe.gov,8595,eriecountyohioboe.gov,eriecountyohioboe-gov.mail.protection.outlook.com.,0,IN,MX
eriecountypa.gov,8596,eriecountypa.gov,eriecountypa-gov.mail.protection.outlook.com.,10,IN,MX
erpo.gov,11418,erpo.gov,erpo-gov.mail.protection.outlook.com.,0,IN,MX
erving-ma.gov,2223,erving-ma.gov,ervingma-gov01e.mail.protection.outlook.com.,0,IN,MX
erwinmi.gov,2224,erwinmi.gov,mx1.emailsrvr.com.,0,IN,MX
esc.gov,11164,esc.gov,amcrelay1.faa.gov.,10,IN,MX
escambiacountyal.gov,8600,escambiacountyal.gov,mail.escambiacountyal.gov.,10,IN,MX
escambiavotes.gov,8601,escambiavotes.gov,escambiavotes-gov.mx1.arsmtp.com.,32767,IN,MX
escanabatownshipmi.gov,2226,escanabatownshipmi.gov,SMTP.GOOGLE.COM.,1,IN,MX
escondido.gov,2227,escondido.gov,escondido-gov.mail.protection.outlook.com.,0,IN,MX
eseclab.gov,11720,eseclab.gov,mxin.eseclab.gov.,10,IN,MX
espanolanm.gov,2228,espanolanm.gov,mx-01-us-west-2.prod.hydra.sophos.com.,10,IN,MX
esrs.gov,11348,esrs.gov,mail1.esrs.gov.,100,IN,MX
essexcountyny.gov,8603,essexcountyny.gov,essexcountyny-gov.mail.protection.outlook.com.,0,IN,MX
essexct.gov,2230,essexct.gov,essexct-gov.mail.protection.outlook.com.,10,IN,MX
essexregionalnj.gov,11981,essexregionalnj.gov,essexregionalnj-gov.mail.protection.outlook.com.,0,IN,MX
estero-fl.gov,2231,estero-fl.gov,mxb-0089dd01.gslb.pphosted.com.,10,IN,MX
estoo-nsn.gov,13606,estoo-nsn.gov,d290546a.ess.barracudanetworks.com.,0,IN,MX
eta-find.gov,11111,eta-find.gov,mx1.frb.iphmx.com.,10,IN,MX
etowahwaterga.gov,11982,etowahwaterga.gov,etowahwaterga-gov.mail.protection.outlook.com.,5,IN,MX
eugene-or.gov,2233,eugene-or.gov,eugeneor-gov01e.mail.protection.outlook.com.,0,IN,MX
eulesstx.gov,2234,eulesstx.gov,d58505a.ess.barracudanetworks.com.,10,IN,MX
eureka-mt.gov,2239,eureka-mt.gov,filter.vision.net.,0,IN,MX
eurekaca.gov,2236,eurekaca.gov,d279714a.ess.barracudanetworks.com.,10,IN,MX
eurekacountynv.gov,8604,eurekacountynv.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
