url,,url,exchange,preference,class,type
al-legislature.gov,12324,al-legislature.gov,allegislature-gov0e.mail.protection.outlook.com.,0,IN,MX
alabama.gov,12309,alabama.gov,mxb-00031101.gslb.pphosted.com.,10,IN,MX
alabamaag.gov,12306,alabamaag.gov,AlabamaAG-gov.mail.protection.outlook.com.,10,IN,MX
alabamaageline.gov,12304,alabamaageline.gov,319114a7fa554cab5c2d6f88720fdc.pamx1.hotmail.com.,10,IN,MX
alabamada.gov,12307,alabamada.gov,mxb-00031101.gslb.pphosted.com.,10,IN,MX
alabamapublichealth.gov,12311,alabamapublichealth.gov,mail3filter.infoquest.com.,10,IN,MX
alabamasoilandwater.gov,11837,alabamasoilandwater.gov,mail.alabamasoilandwater.gov.,0,IN,MX
alabcboard.gov,12312,alabcboard.gov,mxa-00031101.gslb.pphosted.com.,10,IN,MX
alachuacounty.gov,7920,alachuacounty.gov,mxb-00231901.gslb.pphosted.com.,5,IN,MX
alacop.gov,12314,alacop.gov,smtp.alacop.gov.,10,IN,MX
alacourt.gov,12315,alacourt.gov,alacourt-gov.mail.protection.outlook.com.,0,IN,MX
alamancecountync.gov,7922,alamancecountync.gov,usb-smtp-inbound-1.mimecast.com.,10,IN,MX
alamedaca.gov,43,alamedaca.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
alamoheightstx.gov,45,alamoheightstx.gov,d312424b.ess.barracudanetworks.com.,0,IN,MX
alamotownshipmi.gov,47,alamotownshipmi.gov,alamotownshipmi.gov.,0,IN,MX
alappeals.gov,12316,alappeals.gov,alappeals-gov.mail.protection.outlook.com.,0,IN,MX
alaska.gov,12317,alaska.gov,alaska-gov.mail.protection.outlook.com.,0,IN,MX
albanycountyny.gov,7924,albanycountyny.gov,d136890a.ess.barracudanetworks.com.,0,IN,MX
albanycountywy.gov,7926,albanycountywy.gov,d310376a.ess.barracudanetworks.com.,10,IN,MX
albanyga.gov,48,albanyga.gov,d108516b.ess.barracudanetworks.com.,5,IN,MX
albanyny.gov,51,albanyny.gov,albanyny-gov.mail.protection.outlook.com.,10,IN,MX
albanyoregon.gov,52,albanyoregon.gov,d289294a.ess.barracudanetworks.com.,4,IN,MX
albemarlenc.gov,56,albemarlenc.gov,d186112a.ess.barracudanetworks.com.,10,IN,MX
alberttwpmi.gov,57,alberttwpmi.gov,mail.i2k.com.,0,IN,MX
albertvillemn.gov,59,albertvillemn.gov,albertvillemn.gov.mx1.iphouse.rcimx.net.,10,IN,MX
albme.gov,12318,albme.gov,albme-gov.mail.protection.outlook.com.,0,IN,MX
albuquerque-nm.gov,62,albuquerque-nm.gov,correo.cabq.gov.,10,IN,MX
alconservationdistricts.gov,12319,alconservationdistricts.gov,_dc-mx.ba163495ea6e.alconservationdistricts.gov.,0,IN,MX
alcorncountyms.gov,7928,alcorncountyms.gov,alcorncountyms-gov.mail.protection.outlook.com.,0,IN,MX
alea.gov,12320,alea.gov,alea-gov.mail.protection.outlook.com.,0,IN,MX
aledoil.gov,64,aledoil.gov,d271483a.ess.barracudanetworks.com.,10,IN,MX
aledotx.gov,66,aledotx.gov,aledotx-gov.mail.protection.outlook.com.,0,IN,MX
aleknagikak.gov,67,aleknagikak.gov,mail.aleknagikak.gov.,10,IN,MX
alexaminers.gov,12321,alexaminers.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
alexandercityal.gov,68,alexandercityal.gov,d170372a.ess.barracudanetworks.com.,0,IN,MX
alexandercounty-nc.gov,7929,alexandercounty-nc.gov,www.alexandercounty-nc.gov.,10,IN,MX
alexandercountync.gov,7930,alexandercountync.gov,mx1.hc5715-1.iphmx.com.,10,IN,MX
alexandrianj.gov,73,alexandrianj.gov,d312765a.ess.barracudanetworks.com.,10,IN,MX
alexandriava.gov,74,alexandriava.gov,alexandriava-gov.mail.protection.outlook.com.,3,IN,MX
alfredme.gov,76,alfredme.gov,cloud11.spamtitan.com.,10,IN,MX
algercounty.gov,7932,algercounty.gov,mx2-us1.ppe-hosted.com.,10,IN,MX
algonaiowa.gov,77,algonaiowa.gov,algonaiowa-gov.mail.protection.outlook.com.,0,IN,MX
algonawa.gov,78,algonawa.gov,mail.algonawa.gov.,10,IN,MX
algoodtn.gov,79,algoodtn.gov,algoodtn-gov.mail.eo.outlook.com.,0,IN,MX
alhouse.gov,12323,alhouse.gov,alhouse-gov.mail.protection.outlook.com.,0,IN,MX
aliquippapa.gov,80,aliquippapa.gov,aliquippapa-gov.mail.protection.outlook.com.,0,IN,MX
alleganyco.gov,7934,alleganyco.gov,mail.alleganyco.gov.,0,IN,MX
alleghanycounty-nc.gov,7935,alleghanycounty-nc.gov,alleghanycountync-gov03i.mail.protection.outlook.com.,0,IN,MX
allendalecounty.gov,7936,allendalecounty.gov,allendalecounty-gov.mail.protection.outlook.com.,0,IN,MX
allendalenj.gov,81,allendalenj.gov,cloud6.spamtitan.com.,10,IN,MX
allenstownnh.gov,83,allenstownnh.gov,allenstownnh-gov.mail.protection.outlook.com.,10,IN,MX
allentownpa.gov,84,allentownpa.gov,allentownpa-gov.mail.protection.outlook.com.,0,IN,MX
allianceoh.gov,85,allianceoh.gov,allianceoh-gov.mail.eo.outlook.com.,10,IN,MX
almaarkansas.gov,86,almaarkansas.gov,in-mig04.hes.trendmicro.com.,10,IN,MX
almacenterwi.gov,88,almacenterwi.gov,mx1-hosting.jellyfish.systems.,5,IN,MX
almenatownship.gov,90,almenatownship.gov,mail.almenatownship.gov.,0,IN,MX
almlc.gov,12325,almlc.gov,almlc-gov.mail.protection.outlook.com.,0,IN,MX
alpinecountyca.gov,7938,alpinecountyca.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
alpinewy.gov,92,alpinewy.gov,alpinewy-gov.mail.protection.outlook.com.,0,IN,MX
alsar.gov,11890,alsar.gov,aspmx.l.google.com.,1,IN,MX
alsenate.gov,12326,alsenate.gov,alsenate-gov.mail.protection.outlook.com.,10,IN,MX
alsteadnh.gov,93,alsteadnh.gov,alsteadnh-gov.mail.protection.outlook.com.,10,IN,MX
altavistava.gov,94,altavistava.gov,d129127a.ess.barracudanetworks.com.,0,IN,MX
alton-tx.gov,97,alton-tx.gov,mx.zoho.com.,10,IN,MX
altoona-wi.gov,106,altoona-wi.gov,d270992a.ess.barracudanetworks.com.,0,IN,MX
altoonapa.gov,104,altoonapa.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
altusandc.gov,10519,altusandc.gov,mnsa-esa-001azu.altusandc.gov.,5,IN,MX
altusok.gov,108,altusok.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
alzheimers.gov,10676,alzheimers.gov,nihcesxwayst06.hub.nih.gov.,10,IN,MX
amarillo.gov,109,amarillo.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
ameniany.gov,111,ameniany.gov,d306397a.ess.barracudanetworks.com.,10,IN,MX
america.gov,11055,america.gov,aspmx.l.google.com.,1,IN,MX
america250.gov,11830,america250.gov,aspmx.l.google.com.,1,IN,MX
americanfork.gov,112,americanfork.gov,americanfork-gov.mail.protection.outlook.com.,0,IN,MX
americansamoa.gov,12327,americansamoa.gov,americansamoa.gov.,1,IN,MX
americorps.gov,10458,americorps.gov,americorps-gov.mail.protection.outlook.com.,10,IN,MX
