url,ipv4
d182365b.ess.barracudanetworks.com.,209.222.82.252
abseconnj.gov.,129.121.17.246
d253617a.ess.barracudanetworks.com.,209.222.82.253
d253617a.ess.barracudanetworks.com.,209.222.82.255
d253617a.ess.barracudanetworks.com.,209.222.82.252
d253617b.ess.barracudanetworks.com.,209.222.82.255
d253617b.ess.barracudanetworks.com.,209.222.82.253
d253617b.ess.barracudanetworks.com.,209.222.82.252
d316890b.ess.barracudanetworks.com.,209.222.82.255
d316890b.ess.barracudanetworks.com.,209.222.82.252
d316890b.ess.barracudanetworks.com.,209.222.82.253
d316890a.ess.barracudanetworks.com.,209.222.82.255
d316890a.ess.barracudanetworks.com.,209.222.82.253
d316890a.ess.barracudanetworks.com.,209.222.82.252
acton-ma.gov.1.0001.arsmtp.com.,8.31.233.246
acton-ma.gov.2.0001.arsmtp.com.,8.19.118.227
actonma.gov.2.0001.arsmtp.com.,8.19.118.227
actonma.gov.1.0001.arsmtp.com.,8.31.233.246
mgw2.trinsictech.com.,38.97.16.210
mgw1.trinsictech.com.,38.97.16.210
adakak-gov01b.mail.protection.outlook.com.,52.101.11.12
adakak-gov01b.mail.protection.outlook.com.,52.101.9.19
adakak-gov01b.mail.protection.outlook.com.,52.101.8.50
adakak-gov01b.mail.protection.outlook.com.,52.101.8.52
mx2-us1.ppe-hosted.com.,148.163.129.51
mx2-us1.ppe-hosted.com.,67.231.154.163
mx1-us1.ppe-hosted.com.,67.231.154.162
mx1-us1.ppe-hosted.com.,148.163.129.50
alt1.aspmx.l.google.com.,108.177.12.27
aspmx.l.google.com.,142.251.178.26
alt4.aspmx.l.google.com.,209.85.202.27
alt3.aspmx.l.google.com.,64.233.186.27
alt2.aspmx.l.google.com.,172.253.62.26
d215745a.ess.barracudanetworks.com.,209.222.82.253
d215745a.ess.barracudanetworks.com.,209.222.82.252
d215745a.ess.barracudanetworks.com.,209.222.82.255
d215745b.ess.barracudanetworks.com.,209.222.82.252
d215745b.ess.barracudanetworks.com.,209.222.82.255
d215745b.ess.barracudanetworks.com.,209.222.82.253
smtp.adrianmi.gov.,97.107.82.52
adriantwpmi-gov.mail.protection.outlook.com.,52.101.9.19
adriantwpmi-gov.mail.protection.outlook.com.,52.101.8.50
adriantwpmi-gov.mail.protection.outlook.com.,52.101.8.52
adriantwpmi-gov.mail.protection.outlook.com.,52.101.11.12
aftonwyoming.gov.,75.2.21.72
aspmx3.googlemail.com.,172.253.62.27
aspmx2.googlemail.com.,108.177.12.26
ahoskienc-gov.mail.protection.outlook.com.,104.47.55.138
ahoskienc-gov.mail.protection.outlook.com.,104.47.66.10
d312424b.ess.barracudanetworks.com.,209.222.82.253
d312424b.ess.barracudanetworks.com.,209.222.82.252
d312424b.ess.barracudanetworks.com.,209.222.82.255
d312424a.ess.barracudanetworks.com.,209.222.82.252
d312424a.ess.barracudanetworks.com.,209.222.82.253
d312424a.ess.barracudanetworks.com.,209.222.82.255
alamotownshipmi.gov.,50.28.9.200
d108516b.ess.barracudanetworks.com.,209.222.82.253
