queried,a_record
d289294b.ess.barracudanetworks.com.,209.222.82.252
d289294b.ess.barracudanetworks.com.,209.222.82.255
smtp2.cityofalbany.net.,69.1.99.45
d289294a.ess.barracudanetworks.com.,209.222.82.255
d289294a.ess.barracudanetworks.com.,209.222.82.253
d289294a.ess.barracudanetworks.com.,209.222.82.252
d186112a.ess.barracudanetworks.com.,209.222.82.253
d186112a.ess.barracudanetworks.com.,209.222.82.255
d186112a.ess.barracudanetworks.com.,209.222.82.252
d186112b.ess.barracudanetworks.com.,209.222.82.253
d186112b.ess.barracudanetworks.com.,209.222.82.255
d186112b.ess.barracudanetworks.com.,209.222.82.252
mail.i2k.com.,66.255.200.18
albertvillemn.gov.mx3.iphouse.rcimx.net.,216.250.188.216
albertvillemn.gov.mx3.iphouse.rcimx.net.,216.250.188.217
albertvillemn.gov.mx2.iphouse.rcimx.net.,216.250.188.216
albertvillemn.gov.mx2.iphouse.rcimx.net.,216.250.188.217
albertvillemn.gov.mx1.iphouse.rcimx.net.,216.250.188.216
albertvillemn.gov.mx1.iphouse.rcimx.net.,216.250.188.217
albertvillemn.gov.mx4.iphouse.rcimx.net.,208.80.204.253
d271483a.ess.barracudanetworks.com.,209.222.82.255
d271483a.ess.barracudanetworks.com.,209.222.82.253
d271483a.ess.barracudanetworks.com.,209.222.82.252
d271483b.ess.barracudanetworks.com.,209.222.82.252
d271483b.ess.barracudanetworks.com.,209.222.82.255
d271483b.ess.barracudanetworks.com.,209.222.82.253
aledotx-gov.mail.protection.outlook.com.,52.101.194.15
aledotx-gov.mail.protection.outlook.com.,52.101.11.10
aledotx-gov.mail.protection.outlook.com.,52.101.8.32
aledotx-gov.mail.protection.outlook.com.,52.101.9.0
aledotx-gov.mail.protection.outlook.com.,52.101.42.10
aledotx-gov.mail.protection.outlook.com.,52.101.8.42
aledotx-gov.mail.protection.outlook.com.,52.101.42.6
mail.aleknagikak.gov.,162.218.251.159
d170372b.ess.barracudanetworks.com.,209.222.82.252
d170372b.ess.barracudanetworks.com.,209.222.82.253
d170372b.ess.barracudanetworks.com.,209.222.82.255
alexandercityal-gov.mail.eo.outlook.com.,52.101.42.13
alexandercityal-gov.mail.eo.outlook.com.,52.101.10.1
alexandercityal-gov.mail.eo.outlook.com.,52.101.41.0
alexandercityal-gov.mail.eo.outlook.com.,52.101.9.14
alexandercityal-gov.mail.eo.outlook.com.,52.101.42.4
alexandercityal-gov.mail.eo.outlook.com.,52.101.11.3
alexandercityal-gov.mail.eo.outlook.com.,52.101.194.19
alexandercityal-gov.mail.protection.outlook.com.,52.101.42.9
alexandercityal-gov.mail.protection.outlook.com.,52.101.10.8
alexandercityal-gov.mail.protection.outlook.com.,52.101.8.32
alexandercityal-gov.mail.protection.outlook.com.,52.101.194.19
alexandercityal-gov.mail.protection.outlook.com.,52.101.194.15
alexandercityal-gov.mail.protection.outlook.com.,52.101.10.5
alexandercityal-gov.mail.protection.outlook.com.,52.101.194.4
d170372a.ess.barracudanetworks.com.,209.222.82.252
d170372a.ess.barracudanetworks.com.,209.222.82.255
d170372a.ess.barracudanetworks.com.,209.222.82.253
d312765a.ess.barracudanetworks.com.,209.222.82.253
d312765a.ess.barracudanetworks.com.,209.222.82.255
d312765a.ess.barracudanetworks.com.,209.222.82.252
d312765b.ess.barracudanetworks.com.,209.222.82.252
d312765b.ess.barracudanetworks.com.,209.222.82.253
d312765b.ess.barracudanetworks.com.,209.222.82.255
alexandriava-gov.mail.protection.outlook.com.,52.101.8.52
alexandriava-gov.mail.protection.outlook.com.,52.101.11.12
alexandriava-gov.mail.protection.outlook.com.,52.101.8.50
alexandriava-gov.mail.protection.outlook.com.,52.101.9.19
cloud11.spamtitan.com.,3.19.87.175
cloud11.spamtitan.com.,18.223.46.43
cloud11.spamtitan.com.,18.217.94.247
cloud12.spamtitan.com.,18.223.46.43
cloud12.spamtitan.com.,18.217.94.247
cloud12.spamtitan.com.,3.19.87.175
algonaiowa-gov.mail.protection.outlook.com.,52.101.42.10
algonaiowa-gov.mail.protection.outlook.com.,52.101.11.9
algonaiowa-gov.mail.protection.outlook.com.,52.101.40.0
algonaiowa-gov.mail.protection.outlook.com.,52.101.194.4
algonaiowa-gov.mail.protection.outlook.com.,52.101.10.1
algonaiowa-gov.mail.protection.outlook.com.,52.101.8.34
algonaiowa-gov.mail.protection.outlook.com.,52.101.8.36
mail.algonawa.gov.,146.129.245.177
algoodtn-gov.mail.eo.outlook.com.,52.101.9.2
algoodtn-gov.mail.eo.outlook.com.,52.101.8.34
algoodtn-gov.mail.eo.outlook.com.,52.101.194.0
algoodtn-gov.mail.eo.outlook.com.,52.101.194.3
algoodtn-gov.mail.eo.outlook.com.,52.101.40.4
algoodtn-gov.mail.eo.outlook.com.,52.101.194.19
algoodtn-gov.mail.eo.outlook.com.,52.101.42.13
aliquippapa-gov.mail.protection.outlook.com.,104.47.59.138
aliquippapa-gov.mail.protection.outlook.com.,104.47.66.10
cloud6.spamtitan.com.,52.32.254.113
