queried,exchange,preference,class,type
chicagoelections.gov,alt4.aspmx.l.google.com.,10,IN,MX
chicagoelections.gov,smtp.sendgrid.net.,10,IN,MX
chicagoelections.gov,alt1.aspmx.l.google.com.,5,IN,MX
chicago.gov,mxa-00007602.gslb.pphosted.com.,10,IN,MX
chicago.gov,mxb-00007602.gslb.pphosted.com.,10,IN,MX
chicoca.gov,chicoca-gov.mail.protection.outlook.com.,0,IN,MX
chicopeema.gov,chicopeema-gov.mail.protection.outlook.com.,10,IN,MX
chilhowieva.gov,chilhowieva-gov.mail.protection.outlook.com.,0,IN,MX
chillicotheoh.gov,chillicotheoh-gov.mail.protection.outlook.com.,0,IN,MX
chilmarkma.gov,chilmarkma-gov.mx1-us.mailanyone.net.,10,IN,MX
chilmarkma.gov,chilmarkma-gov.mx2-us.mailanyone.net.,20,IN,MX
chilmarkma.gov,chilmarkma-gov.mx3-us.mailanyone.net.,30,IN,MX
chiltonwi.gov,chiltonwi-gov.mail.protection.outlook.com.,0,IN,MX
chinagrovenc.gov,chinagrovenc-gov.mail.protection.outlook.com.,0,IN,MX
chincoteague-va.gov,chincoteagueva-gov03b.mail.protection.outlook.com.,0,IN,MX
chinohills.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
chinohills.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
chinookmt.gov,chinookmt-gov.mail.protection.outlook.com.,0,IN,MX
chippewafalls-wi.gov,mx.chippewafalls-wi.gov.,20,IN,MX
chippewafalls-wi.gov,mail.chippewafalls-wi.gov.,30,IN,MX
chnj.gov,d250609a.ess.barracudanetworks.com.,10,IN,MX
chnj.gov,d250609b.ess.barracudanetworks.com.,20,IN,MX
chocolay.gov,chocolay-gov.mail.protection.outlook.com.,0,IN,MX
chulavistaca.gov,mail2.ci.chula-vista.ca.us.,10,IN,MX
churchhilltn.gov,churchhilltn-gov.mail.protection.outlook.com.,10,IN,MX
cibolotx.gov,cibolotx-gov.mail.protection.outlook.com.,0,IN,MX
cicerony.gov,aspmx.l.google.com.,1,IN,MX
cicerony.gov,alt3.aspmx.l.google.com.,10,IN,MX
cicerony.gov,alt4.aspmx.l.google.com.,10,IN,MX
cicerony.gov,alt1.aspmx.l.google.com.,5,IN,MX
cicerony.gov,alt2.aspmx.l.google.com.,5,IN,MX
cincinnati-oh.gov,cincinnatioh-gov02e.mail.protection.outlook.com.,0,IN,MX
circlevilleoh.gov,circlevilleoh-gov.mail.protection.outlook.com.,0,IN,MX
ciscotexas.gov,d223284b.ess.barracudanetworks.com.,1,IN,MX
ciscotexas.gov,d223284a.ess.barracudanetworks.com.,0,IN,MX
citykankakee-il.gov,postoffice.citykankakee-il.gov.,10,IN,MX
cityofadams-wi.gov,mx1.mail.solarus.net.,10,IN,MX
cityofadams-wi.gov,mx2.mail.solarus.net.,10,IN,MX
cityofadams-wi.gov,mx3.mail.solarus.net.,10,IN,MX
cityofadams-wi.gov,mx4.mail.solarus.net.,10,IN,MX
cityofadams-wi.gov,mx5.mail.solarus.net.,10,IN,MX
cityofadelga.gov,cityofadelga-gov.mail.protection.outlook.com.,0,IN,MX
cityofaikensc.gov,smtp.cityofaikensc.gov.,10,IN,MX
cityofalbionmi.gov,cityofalbionmi-gov.mail.protection.outlook.com.,0,IN,MX
cityofalcoa-tn.gov,d261074b.ess.barracudanetworks.com.,20,IN,MX
cityofalcoa-tn.gov,cityofalcoatn-gov02i.mail.protection.outlook.com.,30,IN,MX
cityofalcoa-tn.gov,d261074a.ess.barracudanetworks.com.,10,IN,MX
cityofallisonia.gov,cityofallisonia-gov.mail.protection.outlook.com.,0,IN,MX
cityofalmaga.gov,cityofalmaga-gov.mail.protection.outlook.com.,0,IN,MX
cityofalmatx.gov,cityofalmatx-gov.mail.protection.outlook.com.,0,IN,MX
cityofaltonil.gov,cityofaltonil-gov.mail.protection.outlook.com.,10,IN,MX
cityofauburnwa.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
cityofauburnwa.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
cityofaudubonmn.gov,cityofaudubonmn-gov.mail.protection.outlook.com.,0,IN,MX
cityofbambergsc.gov,mx.myconnectsuite.com.,1,IN,MX
cityofbayardnm.gov,cityofbayardnm-gov.mail.protection.outlook.com.,0,IN,MX
cityofbaylakefl.gov,mx20.antispam.mailspamprotection.com.,20,IN,MX
cityofbaylakefl.gov,mx30.antispam.mailspamprotection.com.,30,IN,MX
cityofbaylakefl.gov,mx10.antispam.mailspamprotection.com.,10,IN,MX
cityofbayminetteal.gov,CITYOFBAYMINETTEAL-GOV.mail.protection.outlook.com.,0,IN,MX
cityofbentonharbormi.gov,cityofbentonharbormi-gov.mail.protection.outlook.com.,0,IN,MX
cityofbinghamton.gov,cityofbinghamton-gov.mx1.arsmtp.com.,0,IN,MX
cityofbinghamton.gov,cityofbinghamton-gov.mx2.arsmtp.com.,10,IN,MX
cityofblairwi.gov,cityofblairwi-gov.mail.protection.outlook.com.,10,IN,MX
cityofblancotx.gov,alt4.aspmx.l.google.com.,10,IN,MX
cityofblancotx.gov,aspmx.l.google.com.,1,IN,MX
cityofblancotx.gov,alt1.aspmx.l.google.com.,5,IN,MX
cityofblancotx.gov,alt2.aspmx.l.google.com.,5,IN,MX
cityofblancotx.gov,alt3.aspmx.l.google.com.,10,IN,MX
cityofblueridgega.gov,cityofblueridgega-gov.mail.protection.outlook.com.,0,IN,MX
cityofboston.gov,mxb-00241402.gslb.pphosted.com.,10,IN,MX
cityofboston.gov,mxa-00241402.gslb.pphosted.com.,10,IN,MX
cityofbowmanga.gov,cityofbowmanga-gov.mail.protection.outlook.com.,0,IN,MX
cityofboydtx.gov,cityofboydtx-gov.mail.protection.outlook.com.,0,IN,MX
cityofbristowok.gov,cityofbristowok-gov.mail.protection.outlook.com.,0,IN,MX
cityofbrodheadwi.gov,cityofbrodheadwi-gov.mail.protection.outlook.com.,0,IN,MX
cityofbrookings-sd.gov,cityofbrookingssd-gov03i.mail.protection.outlook.com.,0,IN,MX
cityofbrookwoodal.gov,cityofbrookwoodal-gov.mail.protection.outlook.com.,0,IN,MX
cityofbrunswick-ga.gov,mx1-us1.ppe-hosted.com.,0,IN,MX
cityofbrunswick-ga.gov,mx2-us1.ppe-hosted.com.,5,IN,MX
cityofburnsor.gov,alt2.aspmx.l.google.com.,5,IN,MX
cityofburnsor.gov,aspmx.l.google.com.,1,IN,MX
cityofburnsor.gov,alt4.aspmx.l.google.com.,10,IN,MX
cityofburnsor.gov,alt1.aspmx.l.google.com.,5,IN,MX
cityofburnsor.gov,alt3.aspmx.l.google.com.,10,IN,MX
cityofburton-tx.gov,west.smtp.mx.exch081.serverdata.net.,10,IN,MX
cityofburton-tx.gov,east.smtp.mx.exch081.serverdata.net.,20,IN,MX
cityofcanalfulton-oh.gov,spamx2.tmslink.net.,20,IN,MX
cityofcanalfulton-oh.gov,spamx.tmslink.net.,10,IN,MX
cityofcarsonca.gov,icebox.carson.ca.us.,5,IN,MX
cityofcayce-sc.gov,caycesc.mail.protection.outlook.com.,10,IN,MX
cityofcayce-sc.gov,cityofcaycesc-gov02i.mail.protection.outlook.com.,0,IN,MX
cityofcharlottetn.gov,cityofcharlottetn-gov.mail.protection.outlook.com.,0,IN,MX
cityofchetek-wi.gov,aspmx.l.google.com.,1,IN,MX
cityofchetek-wi.gov,alt1.aspmx.l.google.com.,5,IN,MX
cityofchetek-wi.gov,alt4.aspmx.l.google.com.,10,IN,MX
cityofchetek-wi.gov,alt3.aspmx.l.google.com.,10,IN,MX
cityofchetek-wi.gov,alt2.aspmx.l.google.com.,5,IN,MX
cityofclare.gov,mx3.mtaroutes.com.,30,IN,MX
cityofclare.gov,mx4.mtaroutes.com.,40,IN,MX
cityofclare.gov,mx2.mtaroutes.com.,20,IN,MX
cityofclare.gov,mx1.mtaroutes.com.,10,IN,MX
cityofclaytonga.gov,cityofclaytonga-gov.mail.protection.outlook.com.,0,IN,MX
cityofclintoniowa.gov,usb-smtp-inbound-2.mimecast.com.,10,IN,MX
cityofclintoniowa.gov,usb-smtp-inbound-1.mimecast.com.,0,IN,MX
cityofconway-ar.gov,cityofconwayar-gov03b.mail.protection.outlook.com.,0,IN,MX
cityofcottonwoodmn.gov,cityofcottonwoodmn-gov.mail.protection.outlook.com.,0,IN,MX
cityofcoweta-ok.gov,cityofcowetaok-gov03b.mail.protection.outlook.com.,0,IN,MX
cityofcreedmoortx.gov,cityofcreedmoortx-gov.mail.protection.outlook.com.,0,IN,MX
cityofcrisfield-md.gov,mx.cityofcrisfield-md.gov.,30,IN,MX
cityofcudahyca.gov,cityofcudahyca.gov.s8a2.psmtp.com.,20,IN,MX
cityofcudahyca.gov,cityofcudahyca.gov.s8b1.psmtp.com.,30,IN,MX
cityofcudahyca.gov,cityofcudahyca.gov.s8b2.psmtp.com.,40,IN,MX
cityofcudahyca.gov,cityofcudahyca-gov.mail.protection.outlook.com.,0,IN,MX
cityofcudahyca.gov,cityofcudahyca.gov.s8a1.psmtp.com.,10,IN,MX
cityofdalton-ga.gov,d241277a.ess.barracudanetworks.com.,10,IN,MX
cityofdalton-ga.gov,ms71814703.msv1.invalid.,32767,IN,MX
cityofdalton-ga.gov,d241277b.ess.barracudanetworks.com.,20,IN,MX
cityofdeerlodgemt.gov,cityofdeerlodgemt-gov.mail.protection.outlook.com.,0,IN,MX
cityofdelafieldwi.gov,cityofdelafieldwi-gov.mail.protection.outlook.com.,0,IN,MX
cityofdixonca.gov,cityofdixonca-gov.mail.protection.outlook.com.,0,IN,MX
cityofdouglasga.gov,cityofdouglasga-gov.mail.protection.outlook.com.,0,IN,MX
cityofdunbarwv.gov,cityofdunbarwv-gov.mail.protection.outlook.com.,0,IN,MX
cityofeatonrapids.gov,cityofeatonrapids-gov.mail.protection.outlook.com.,0,IN,MX
cityofelkharttx.gov,cityofelkharttx-gov.mail.protection.outlook.com.,0,IN,MX
cityofellisks.gov,cityofellisks-gov.mail.protection.outlook.com.,0,IN,MX
cityofelynv.gov,mx2-us1.ppe-hosted.com.,10,IN,MX
cityofelynv.gov,mx1-us1.ppe-hosted.com.,0,IN,MX
cityoferintn.gov,cityoferintn-gov.mail.protection.outlook.com.,0,IN,MX
cityofeudoraks.gov,ms51426867.msv1.invalid.,100,IN,MX
cityofeudoraks.gov,mx.ct.mbox.net.,20,IN,MX
cityofeudoraks.gov,mx.usa.net.,10,IN,MX
cityoffarmersville-ca.gov,cityoffarmersvilleca-gov04e.mail.protection.outlook.com.,0,IN,MX
cityoffarmington-ar.gov,mx1.gcmcomputers.com.,10,IN,MX
cityoffergusonky.gov,cityoffergusonky-gov.mail.protection.outlook.com.,0,IN,MX
cityoffolkston-ga.gov,mx001.netsol.xion.oxcs.net.,10,IN,MX
cityoffolkston-ga.gov,mx002.netsol.xion.oxcs.net.,10,IN,MX
cityoffrederickmd.gov,smtp1-msp.securence.com.,10,IN,MX
cityoffrederickmd.gov,smtp1-mke.securence.com.,10,IN,MX
cityofgaffney-sc.gov,cityofgaffneysc-gov03c.mail.protection.outlook.com.,0,IN,MX
cityofgalenapark-tx.gov,cityofgalenaparktx-gov04b.mail.protection.outlook.com.,0,IN,MX
cityofgalesvillewi.gov,mail.mcsnetworks.com.,10,IN,MX
cityofgibraltarmi.gov,mailprotect.etsnow.net.,10,IN,MX
cityofgirardoh.gov,cityofgirardoh-gov.mx1.arsmtp.com.,10,IN,MX
cityofgirardoh.gov,cityofgirardoh-gov.mx2.arsmtp.com.,20,IN,MX
cityofgolden.gov,cityofgolden-gov.mx1.arsmtp.com.,10,IN,MX
cityofgolden.gov,cityofgolden-gov.mx2.arsmtp.com.,20,IN,MX
cityofgrandblancmi.gov,cityofgrandblancmi-gov.mail.protection.outlook.com.,0,IN,MX
cityofgrossepointemi.gov,mx3.mtaroutes.com.,30,IN,MX
cityofgrossepointemi.gov,mx1.mtaroutes.com.,10,IN,MX
cityofgrossepointemi.gov,mx2.mtaroutes.com.,20,IN,MX
cityofgrossepointemi.gov,mx4.mtaroutes.com.,40,IN,MX
cityofgroton-ct.gov,mail.yurservice.com.,10,IN,MX
cityofgroveok.gov,mx2.rectec.net.,0,IN,MX
cityofgunnison-co.gov,mx2-us1.ppe-hosted.com.,10,IN,MX
cityofgunnison-co.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
cityofguttenbergia.gov,mx1.emailsrvr.com.,10,IN,MX
cityofguttenbergia.gov,mx2.emailsrvr.com.,20,IN,MX
cityofhackensackmn.gov,cityofhackensackmn-gov.mail.protection.outlook.com.,0,IN,MX
cityofharrison-mi.gov,cityofharrisonmi-gov03e.mail.protection.outlook.com.,0,IN,MX
cityofharveyil.gov,cityofharveyil-gov.mail.protection.outlook.com.,10,IN,MX
cityofhaywardwi.gov,mx2.emailsrvr.com.,20,IN,MX
cityofhaywardwi.gov,mx1.emailsrvr.com.,10,IN,MX
cityofherculaneum.gov,d300335b.ess.barracudanetworks.com.,20,IN,MX
cityofherculaneum.gov,d300335a.ess.barracudanetworks.com.,10,IN,MX
cityofhiramga.gov,mail.cityofhiramga.gov.,10,IN,MX
cityofhokah-mn.gov,mail.acegroup.cc.,10,IN,MX
cityofholyoke-co.gov,mx2.emailsrvr.com.,20,IN,MX
cityofholyoke-co.gov,mx1.emailsrvr.com.,10,IN,MX
cityofhomer-ak.gov,d32847a.ess.barracudanetworks.com.,10,IN,MX
cityofhomer-ak.gov,d32847b.ess.barracudanetworks.com.,20,IN,MX
cityofhoodriver.gov,cityofhoodriver.gov.1.0001.arsmtp.com.,10,IN,MX
cityofhoodriver.gov,cityofhoodriver.gov.2.0001.arsmtp.com.,20,IN,MX
cityofhubbard-oh.gov,cityofhubbardoh-gov03c.mail.protection.outlook.com.,0,IN,MX
cityofhughsonca.gov,mx2-us1.ppe-hosted.com.,5,IN,MX
cityofhughsonca.gov,mx1-us1.ppe-hosted.com.,5,IN,MX
cityofirondaleal.gov,cityofirondaleal-gov.mail.protection.outlook.com.,0,IN,MX
cityofjuneauwi.gov,cityofjuneauwi-gov.mail.protection.outlook.com.,0,IN,MX
cityofkewauneewi.gov,cityofkewauneewi-gov.mail.protection.outlook.com.,0,IN,MX
cityofkeywest-fl.gov,d228779b.ess.barracudanetworks.com.,20,IN,MX
cityofkeywest-fl.gov,d228779a.ess.barracudanetworks.com.,10,IN,MX
cityofkingman.gov,mx1.cityofkingman.gov.,5,IN,MX
cityofkingsburg-ca.gov,cityofkingsburgca-gov03i.mail.protection.outlook.com.,0,IN,MX
cityoflacrescent-mn.gov,cityoflacrescentmn-gov04b.mail.protection.outlook.com.,0,IN,MX
cityofladue-mo.gov,d299916b.ess.barracudanetworks.com.,10,IN,MX
cityofladue-mo.gov,d299916a.ess.barracudanetworks.com.,0,IN,MX
cityoflagrangemo.gov,cityoflagrangemo-gov.mail.protection.outlook.com.,0,IN,MX
cityoflakebuenavistafl.gov,mx30.antispam.mailspamprotection.com.,30,IN,MX
cityoflakebuenavistafl.gov,mx20.antispam.mailspamprotection.com.,20,IN,MX
cityoflakebuenavistafl.gov,mx10.antispam.mailspamprotection.com.,10,IN,MX
cityoflakegeneva.gov,cityoflakegeneva-gov.mx1.arsmtp.com.,10,IN,MX
cityoflakegeneva.gov,cityoflakegeneva-gov.mx2.arsmtp.com.,20,IN,MX
cityoflancasterca.gov,d261824a.ess.barracudanetworks.com.,0,IN,MX
cityoflancasterca.gov,d261824b.ess.barracudanetworks.com.,0,IN,MX
cityoflancasterpa.gov,cityoflancasterpa-gov.mail.protection.outlook.com.,0,IN,MX
cityoflaportein.gov,cityoflaportein-gov.mail.protection.outlook.com.,0,IN,MX
cityoflfp.gov,cityoflfp-gov.mail.protection.outlook.com.,0,IN,MX
cityoflisbon-ia.gov,cityoflisbonia-gov03b.mail.protection.outlook.com.,0,IN,MX
cityoflodiwi.gov,cityoflodiwi-gov.mail.protection.outlook.com.,0,IN,MX
cityoflompoc.gov,cityoflompoc-gov.mail.protection.outlook.com.,0,IN,MX
cityoflorettotn.gov,d282512b.ess.barracudanetworks.com.,20,IN,MX
cityoflorettotn.gov,d282512a.ess.barracudanetworks.com.,10,IN,MX
cityoflouisvillems.gov,cityoflouisvillems-gov.mail.protection.outlook.com.,0,IN,MX
cityoflubbocktx.gov,us-smtp-inbound-2.mimecast.com.,5,IN,MX
cityoflubbocktx.gov,us-smtp-inbound-1.mimecast.com.,5,IN,MX
cityofmacon-mo.gov,cityofmaconmo-gov02i.mail.protection.outlook.com.,0,IN,MX
cityofmadera.gov,cityofmadera-gov.mail.protection.outlook.com.,0,IN,MX
cityofmanchestertn.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
cityofmanchestertn.gov,mx2-us1.ppe-hosted.com.,20,IN,MX
cityofmargaretalabama.gov,cityofmargaretalabama-gov.mail.protection.outlook.com.,0,IN,MX
cityofmarionil.gov,mail.cityofmarionil.gov.,10,IN,MX
cityofmarionwi.gov,cityofmarionwi-gov.mail.eo.outlook.com.,0,IN,MX
cityofmattawa-wa.gov,cityofmattawawa-gov03c.mail.protection.outlook.com.,10,IN,MX
cityofmaysvilleky.gov,mx.spamexperts.com.,10,IN,MX
cityofmaysvilleky.gov,lastmx.spamexperts.net.,30,IN,MX
cityofmaysvilleky.gov,fallbackmx.spamexperts.eu.,20,IN,MX
cityofmaywoodparkor.gov,ALT2.ASPMX.L.GOOGLE.COM.,5,IN,MX
cityofmaywoodparkor.gov,ALT1.ASPMX.L.GOOGLE.COM.,5,IN,MX
cityofmaywoodparkor.gov,ALT3.ASPMX.L.GOOGLE.COM.,10,IN,MX
cityofmaywoodparkor.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
cityofmaywoodparkor.gov,ALT4.ASPMX.L.GOOGLE.COM.,10,IN,MX
cityofmccaysvillega.gov,mail.cityofmccaysvillega.gov.,10,IN,MX
cityofmebanenc.gov,cityofmebanenc-gov.mail.protection.outlook.com.,0,IN,MX
cityofmetterga.gov,cityofmetterga-gov.mail.protection.outlook.com.,0,IN,MX
cityofmidland-mi.gov,.,0,IN,MX
cityofmidlandmi.gov,mail.cityofmidlandmi.gov.,10,IN,MX
cityofmillbrook-al.gov,mx2.emailsrvr.com.,20,IN,MX
cityofmillbrook-al.gov,mx1.emailsrvr.com.,10,IN,MX
cityofmillenga.gov,alt1.aspmx.l.google.com.,5,IN,MX
cityofmillenga.gov,alt2.aspmx.l.google.com.,5,IN,MX
cityofmillenga.gov,alt3.aspmx.l.google.com.,10,IN,MX
cityofmillenga.gov,alt4.aspmx.l.google.com.,10,IN,MX
cityofmillenga.gov,aspmx.l.google.com.,1,IN,MX
cityofminatarene.gov,mx2-us1.ppe-hosted.com.,5,IN,MX
cityofminatarene.gov,mx1-us1.ppe-hosted.com.,0,IN,MX
cityofmineralpointwi.gov,cityofmineralpointwi-gov.mail.protection.outlook.com.,0,IN,MX
cityofmitchellsd.gov,cityofmitchellsd-gov.mail.protection.outlook.com.,0,IN,MX
cityofmonongahela-pa.gov,mx2-us1.ppe-hosted.com.,20,IN,MX
cityofmonongahela-pa.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
cityofmonroewi.gov,d309260b.ess.barracudanetworks.com.,10,IN,MX
cityofmonroewi.gov,d309260a.ess.barracudanetworks.com.,10,IN,MX
cityofmooreok.gov,cityofmooreok-gov.mail.protection.outlook.com.,0,IN,MX
cityofmorgantonga.gov,mx20.antispam.mailspamprotection.com.,20,IN,MX
cityofmorgantonga.gov,mx10.antispam.mailspamprotection.com.,10,IN,MX
cityofmorgantonga.gov,mx30.antispam.mailspamprotection.com.,30,IN,MX
cityofmorrisok.gov,cityofmorrisok-gov.mail.protection.outlook.com.,0,IN,MX
cityofmte.gov,_dc-mx.ca8dc58661ca.cityofmte.gov.,0,IN,MX
cityofmtvernon-ia.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
cityofmtvernon-ia.gov,mx2-us1.ppe-hosted.com.,10,IN,MX
cityofnanticoke-pa.gov,d125107a.ess.barracudanetworks.com.,1,IN,MX
cityofnanticoke-pa.gov,d125107b.ess.barracudanetworks.com.,2,IN,MX
cityofnewbuffalomi.gov,cityofnewbuffalomi-gov.mail.protection.outlook.com.,0,IN,MX
cityofnewburgh-ny.gov,cityofnewburgh-ny.gov.mx1.rcimx.com.,10,IN,MX
cityofnewburgh-ny.gov,cityofnewburgh-ny.gov.mx2.rcimx.com.,20,IN,MX
cityofnewburgh-ny.gov,cityofnewburgh-ny.gov.mx3.rcimx.com.,30,IN,MX
cityofnewfranklinmo.gov,cityofnewfranklinmo-gov.mail.protection.outlook.com.,0,IN,MX
cityofnewman.gov,spam.midvalleyit.com.,0,IN,MX
cityofnichollsga.gov,cityofnichollsga-gov.mail.protection.outlook.com.,0,IN,MX
cityofnormandy.gov,cityofnormandy-gov.mail.protection.outlook.com.,0,IN,MX
cityofnormandy.gov,remotemail.cityofnormandy.gov.,999,IN,MX
cityofocontowi.gov,ALT4.ASPMX.L.GOOGLE.COM.,10,IN,MX
cityofocontowi.gov,ALT3.ASPMX.L.GOOGLE.COM.,10,IN,MX
cityofocontowi.gov,ALT1.ASPMX.L.GOOGLE.COM.,5,IN,MX
cityofocontowi.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
cityofocontowi.gov,ALT2.ASPMX.L.GOOGLE.COM.,5,IN,MX
cityofpacificwa.gov,mail.cityofpacificwa.gov.,10,IN,MX
cityofpalmdaleca.gov,d290236b.ess.barracudanetworks.com.,0,IN,MX
cityofpalmdaleca.gov,d290236a.ess.barracudanetworks.com.,0,IN,MX
cityofparistn.gov,cityofparistn-gov.mail.protection.outlook.com.,10,IN,MX
cityofparma-oh.gov,us-smtp-inbound-2.mimecast.com.,10,IN,MX
cityofparma-oh.gov,us-smtp-inbound-1.mimecast.com.,10,IN,MX
cityofpassaicnj.gov,vm.mail.rcn.net.,10,IN,MX
cityofpattersonla.gov,cityofpattersonla-gov.mail.protection.outlook.com.,10,IN,MX
cityofpearidgear.gov,cityofpearidgear-gov.mail.protection.outlook.com.,0,IN,MX
cityofpetersburgwv.gov,cityofpetersburgwv-gov.mail.protection.outlook.com.,0,IN,MX
cityofpevelymo.gov,d308756b.ess.barracudanetworks.com.,10,IN,MX
cityofpevelymo.gov,d308756a.ess.barracudanetworks.com.,0,IN,MX
cityofpigeonforgetn.gov,mail.cityofpigeonforgetn.gov.,1,IN,MX
cityofpinconningmi.gov,cityofpinconningmi-gov.mail.protection.outlook.com.,0,IN,MX
cityofpinebluff-ar.gov,cityofpinebluff-ar-gov.mxguardian.net.,10,IN,MX
cityofplainville-ks.gov,mx.cityofplainville-ks.gov.,30,IN,MX
cityofplattsburgh-ny.gov,cityofplattsburgh-ny-gov.p10.spamhero.com.,10,IN,MX
cityofplattsburgh-ny.gov,cityofplattsburgh-ny-gov.p20.spamhero.net.,20,IN,MX
cityofplattsburgh-ny.gov,cityofplattsburgh-ny-gov.p30.spamhero.net.,30,IN,MX
cityofplattsburgh-ny.gov,cityofplattsburgh-ny-gov.p40.spamhero.net.,40,IN,MX
cityofpleasantonca.gov,cityofpleasantonca-gov.mail.protection.outlook.com.,0,IN,MX
cityofportlandtn.gov,cityofportlandtn-gov.mail.protection.outlook.com.,0,IN,MX
cityofringgoldga.gov,cityofringgoldga-gov.mail.protection.outlook.com.,0,IN,MX
cityofrochester.gov,mxa-005b8201.gslb.pphosted.com.,10,IN,MX
cityofrochester.gov,mxb-005b8201.gslb.pphosted.com.,10,IN,MX
cityofrockhillsc.gov,d262442b.ess.barracudanetworks.com.,5,IN,MX
cityofrockhillsc.gov,d262442a.ess.barracudanetworks.com.,0,IN,MX
cityofrockhillsc.gov,postbox.cityofrockhillsc.gov.,10,IN,MX
cityofrogerstx.gov,cityofrogerstx-gov.mail.protection.outlook.com.,0,IN,MX
cityofroyaltonmn.gov,mail.avenet.net.,0,IN,MX
cityofsacramento.gov,cityofsacramento-gov.mail.protection.outlook.com.,0,IN,MX
cityofsalemnj.gov,mail.cityofsalemnj.gov.,10,IN,MX
cityofsanaugustinetx.gov,alt2.aspmx.l.google.com.,5,IN,MX
cityofsanaugustinetx.gov,alt4.aspmx.l.google.com.,10,IN,MX
cityofsanaugustinetx.gov,alt3.aspmx.l.google.com.,10,IN,MX
cityofsanaugustinetx.gov,aspmx.l.google.com.,1,IN,MX
cityofsanaugustinetx.gov,alt1.aspmx.l.google.com.,5,IN,MX
cityofsanmateoca.gov,CITYOFSANMATEOCA-GOV.mail.protection.outlook.com.,0,IN,MX
cityofsantamariaca.gov,cityofsantamariaca-gov.mail.protection.outlook.com.,0,IN,MX
cityofsanteeca.gov,mail.cityofsanteeca.gov.,10,IN,MX
cityofsarasotafl.gov,mx1.hc2214-29.iphmx.com.,10,IN,MX
cityofsarasotafl.gov,mx2.hc2214-29.iphmx.com.,10,IN,MX
cityofsavannail.gov,cityofsavannail.gov.,0,IN,MX
cityofsebastopol.gov,mx2-us1.ppe-hosted.com.,15,IN,MX
cityofsebastopol.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
cityofsemmesal.gov,east.smtp.mx.exch070.serverdata.net.,20,IN,MX
cityofsemmesal.gov,west.smtp.mx.exch070.serverdata.net.,10,IN,MX
cityofsenatobiams.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
cityofsenatobiams.gov,mx2-us1.ppe-hosted.com.,10,IN,MX
cityofsewardne.gov,mx2-us1.ppe-hosted.com.,20,IN,MX
cityofsewardne.gov,mx1-us1.ppe-hosted.com.,10,IN,MX
cityofsnoqualmiewa.gov,cityofsnoqualmiewa-gov.mail.protection.outlook.com.,0,IN,MX
cityofsourlake.gov,cityofsourlake-gov.mail.protection.outlook.com.,0,IN,MX
cityofsouthfultonga.gov,cityofsouthfultonga-gov.mail.protection.outlook.com.,0,IN,MX
cityofspartanburg-sc.gov,mx.cityofspartanburg-sc.gov.,30,IN,MX
cityofspencerok.gov,cityofspencerok-gov.mail.protection.outlook.com.,0,IN,MX
cityofspoonerwi.gov,aspmx3.googlemail.com.,30,IN,MX
cityofspoonerwi.gov,aspmx4.googlemail.com.,30,IN,MX
cityofspoonerwi.gov,alt1.aspmx.l.google.com.,20,IN,MX
cityofspoonerwi.gov,aspmx5.googlemail.com.,30,IN,MX
cityofspoonerwi.gov,aspmx2.googlemail.com.,30,IN,MX
cityofspoonerwi.gov,aspmx.l.google.com.,10,IN,MX
cityofspoonerwi.gov,alt2.aspmx.l.google.com.,20,IN,MX
cityofstockbridge-ga.gov,d153774a.ess.barracudanetworks.com.,10,IN,MX
cityofstockbridge-ga.gov,d153774b.ess.barracudanetworks.com.,20,IN,MX
cityofthorp.gov,cityofthorp-gov.mail.protection.outlook.com.,0,IN,MX
cityoftitusvillepa.gov,d255604a.ess.barracudanetworks.com.,10,IN,MX
cityoftitusvillepa.gov,d255604b.ess.barracudanetworks.com.,20,IN,MX
cityoftombstoneaz.gov,mx.siteprotect.com.,10,IN,MX
cityoftulsa.gov,mx2.tulsaconnect.com.,10,IN,MX
cityoftulsa.gov,mx1.tulsaconnect.com.,10,IN,MX
cityoftybee.gov,cityoftybee-gov.mail.protection.outlook.com.,0,IN,MX
cityofvacaville.gov,d293761a.ess.barracudanetworks.com.,10,IN,MX
cityofvacaville.gov,d293761b.ess.barracudanetworks.com.,10,IN,MX
cityofvermilionohio.gov,spam.securesight.co.,10,IN,MX
cityofvermilionohio.gov,spam.securesight.net.,20,IN,MX
cityofwakefieldmi.gov,CITYOFWAKEFIELDMI-GOV.mail.protection.outlook.com.,0,IN,MX
cityofwarrenpa.gov,d127077a.ess.barracudanetworks.com.,20,IN,MX
cityofwarrenpa.gov,d127077b.ess.barracudanetworks.com.,10,IN,MX
